filename,link
May 2023 ASE Fetal Echo.pdf,https://www.asecho.org/wp-content/uploads/2023/05/PIIS0894731723002067.pdf
April 2023 ASE Interventional Echocardiography for SHD.pdf,https://www.asecho.org/wp-content/uploads/2023/04/PIIS0894731723000676.pdf
March 2023 ASE Cardiac POCUS in Children.pdf,https://www.asecho.org/wp-content/uploads/2023/01/PIIS0894731722006034-1.pdf
January 2023 ASE Evaluation of Rheumatic Heart Disease RHD.pdf,https://www.asecho.org/wp-content/uploads/2023/01/PIIS0894731722005211.pdf
June 2022 ASE Multimodality CV Imaging of patients with HCM.pdf,https://www.asecho.org/wp-content/uploads/2022/06/PIIS0894731722001407.pdf
April 2022 ASE Non-Invasive Imaging in Coronary Syndromes.pdf,https://www.asecho.org/wp-content/uploads/2022/04/PIIS0894731721008841.pdf
January 2022 ASE TEE Screening for Structural Heart Intervention.pdf,https://www.asecho.org/wp-content/uploads/2022/01/PIIS0894731721005940.pdf
March 2021 ASE Adult Sonographer Screening for C-CHD.pdf,https://www.asecho.org/wp-content/uploads/2021/03/PIIS0894731720307793.pdf
January 2021 ASE Adapting Pediatric Fetal and CHD Services COVID-19.pdf,https://www.asecho.org/wp-content/uploads/2022/10/PIIS0894731721000274.pdf
August 2020 ASE Assessment of Carotid Arterial Plaque by Ultrasound.pdf,https://www.asecho.org/wp-content/uploads/2022/01/PIIS0894731720302522.pdf
June 2020 ASE TEESurgical Decision-Making in the OR.pdf,https://www.asecho.org/wp-content/uploads/2023/03/PIIS0894731720301334.pdf
May 2020 ASE Reintroduction of Echo During COVID-19.pdf,https://www.asecho.org/wp-content/uploads/2022/10/PIIS0894731720303138.pdf
May 2020 ASE Multimodality Cardiovascular Imaging in Young Adult Competitive Athletes.pdf,https://www.asecho.org/wp-content/uploads/2020/05/YA-Competitive-Athlete_May2020.pdf
April 2020 ASE ASE Statement on COVID-19.pdf,https://www.asecho.org/wp-content/uploads/2020/06/COVID-Statement_June2020.pdf
April 2020 ASE POCUS and Critical Care Echocardiography.pdf,https://www.asecho.org/wp-content/uploads/2020/04/POCUS-Training_April2020.pdf
March 2020 ASE Multimodality Assessment of Congenital Coronary Anomalies.pdf,https://www.asecho.org/wp-content/uploads/2020/03/ConCoronary_March2020.pdf
January 2020 ASE Stress Echocardiography in Ischemic Heart Disease.pdf,https://www.asecho.org/wp-content/uploads/2020/01/Stress-Echo-2020.pdf
May 2019 ASE AUC for Nonvalvular Heart Disease.pdf,https://www.asecho.org/wp-content/uploads/2019/07/AUC-for-MMI-Nonvalvular-HD-2019.pdf
April 2019 ASE Valvular Regurgitation After Percutaneous Valve RepairReplacement.pdf,https://www.asecho.org/wp-content/uploads/2019/04/Percutaneous-VR_2019.pdf
February 2019 ASE Comprehensive TEE in Children and CHD.pdf,https://www.asecho.org/wp-content/uploads/2019/02/TEE-Ped-and-CHD.pdf
January 2019 ASE Comprehensive TTE in Adults.pdf,https://www.asecho.org/wp-content/uploads/2019/01/2019_Comprehensive-TTE.pdf
April 2018 ASE AUC for Multimodality Imaging in Valvular Heart Disease.pdf,https://www.asecho.org/wp-content/uploads/2019/07/AUC-MMI-in-VHD-2017.pdf
March 2018 ASE UEA in Clinical Echo 2018 Update.pdf,https://www.asecho.org/wp-content/uploads/2018/03/UEA-Guideline.pdf
January 2018 ASE Chagas Disease.pdf,https://www.asecho.org/wp-content/uploads/2018/01/2018_Chagas.pdf
April 2017 ASE Native Valvular Regurgitation by Echo.pdf,https://www.asecho.org/wp-content/uploads/2017/04/2017VavularRegurgitationGuideline.pdf
April 2017 ASE Update of Aortic Valve Stenosis.pdf,https://www.asecho.org/wp-content/uploads/2017/04/2017ValveStenosisGuideline.pdf
February 2017 ASE Stress Echo in Non-Ischaemic Heart Disease.pdf,https://www.asecho.org/wp-content/uploads/2017/02/Stress-Echo-in-Non-Ischaemic-Guideline-2-2-17.pdf
January 2017 ASE 3D Echo in CHD.pdf,https://www.asecho.org/wp-content/uploads/2017/01/3D-Echo-in-CHD.pdf
July 2016 ASE TGA Multimodality Imaging.pdf,https://www.asecho.org/wp-content/uploads/2016/06/2016_Transposition-of-Great-Arteries.pdf
April 2016 ASE LV Diastolic Function by Echo.pdf,https://www.asecho.org/wp-content/uploads/2016/03/2016_LVDiastolicFunction.pdf
January 2016 ASE Cardiac Source of Embolism.pdf,https://www.asecho.org/wp-content/uploads/2016/01/2016_Cardiac-Source-of-Embolism.pdf
August 2015 ASE LVAD Assessment by Echo.pdf,https://www.asecho.org/wp-content/uploads/2015/07/2015_EchoLVAD.pdf
August 2015 ASE ASD and PFO Assessment by Echo.pdf,https://www.asecho.org/wp-content/uploads/2015/07/2015_ASD-PFO.pdf
July 2015 ASE Echo in Adult Hypertension.pdf,https://www.asecho.org/wp-content/uploads/2015/07/2015_Hypertension.pdf
February 2015 ASE Thoracic Aorta Diseases in Adults.pdf,https://www.asecho.org/wp-content/uploads/2015/01/2015_Thoracic-Aorta.pdf
January 2015 ASE Therapeutic Intervention in Adults.pdf,https://www.asecho.org/wp-content/uploads/2015/01/EchoMonitor2015.pdf
